"Students Sets","Subject","Teachers","Activity Tags","Total Duration","Split Duration","Min Days","Weight","Consecutive"
"رابعة 1","رياضيات","MAT1","",4,"1+1+1+1",1,100,1
"رابعة 2","رياضيات","MAT1","",4,"1+1+1+1",1,100,1
"ثانية 6","رياضيات","MAT1","",4,"1+1+1+1",1,100,1
"رابعة 3","رياضيات","MAT2","",4,"1+1+1+1",1,100,1
"رابعة 4","رياضيات","MAT2","",4,"1+1+1+1",1,100,1
"رابعة 5","رياضيات","MAT2","",4,"1+1+1+1",1,100,1
"ثالثة 1","رياضيات","MAT3","",4,"1+1+1+1",1,100,1
"ثالثة 3","رياضيات","MAT3","",4,"1+1+1+1",1,100,1
"أولى 4","رياضيات","MAT3","",4,"1+1+1+1",1,100,1
"أولى 5","رياضيات","MAT3","",4,"1+1+1+1",1,100,1
"ثالثة 2","رياضيات","MAT4","",4,"1+1+1+1",1,100,1
"ثالثة 4","رياضيات","MAT4","",4,"1+1+1+1",1,100,1
"أولى 7","رياضيات","MAT4","",4,"1+1+1+1",1,100,1
"أولى 6","رياضيات","MAT4","",4,"1+1+1+1",1,100,1
"ثانية 1","رياضيات","MAT5","",4,"1+1+1+1",1,100,1
"ثانية 2","رياضيات","MAT5","",4,"1+1+1+1",1,100,1
"ثانية 3","رياضيات","MAT5","",4,"1+1+1+1",1,100,1
"أولى 3","رياضيات","MAT5","",4,"1+1+1+1",1,100,1
"ثانية 4","رياضيات","MAT6","",4,"1+1+1+1",1,100,1
"ثانية 5","رياضيات","MAT6","",4,"1+1+1+1",1,100,1
"أولى1","رياضيات","MAT6","",4,"1+1+1+1",1,100,1
"أولى 2","رياضيات","MAT6","",4,"1+1+1+1",1,100,1
"رابعة 1","ل.عربية","ARA1","",4,"1+1+1+1",1,100,1
"رابعة 2","ل.عربية","ARA1","",4,"1+1+1+1",1,100,1
"رابعة 3","ل.عربية","ARA2","",4,"1+1+1+1",1,100,1
"رابعة 4","ل.عربية","ARA2","",4,"1+1+1+1",1,100,1
"رابعة 5","ل.عربية","ARA3","",4,"1+1+1+1",1,100,1
"ثالثة 1","ل.عربية","ARA3","",4,"1+1+1+1",1,100,1
"ثالثة 2","ل.عربية","ARA3","",4,"1+1+1+1",1,100,1
"ثالثة 3","ل.عربية","ARA4","",4,"1+1+1+1",1,100,1
"أولى 5","ل.عربية","ARA4","",5,"1+1+1+1+1",1,100,1
"أولى 4","ل.عربية","ARA4","",5,"1+1+1+1+1",1,100,1
"أولى 6","ل.عربية","ARA5","",5,"1+1+1+1+1",1,100,1
"أولى 7","ل.عربية","ARA5","",5,"1+1+1+1+1",1,100,1
"ثالثة 4","ل.عربية","ARA5","",4,"1+1+1+1",1,100,1
"ثانية 1","ل.عربية","ARA6","",5,"1+1+1+1+1",1,100,1
"ثانية 2","ل.عربية","ARA6","",5,"1+1+1+1+1",1,100,1
"أولى1","ل.عربية","ARA6","",5,"1+1+1+1+1",1,100,1
"ثانية 3","ل.عربية","ARA7","",5,"1+1+1+1+1",1,100,1
"ثانية 4","ل.عربية","ARA7","",5,"1+1+1+1+1",1,100,1
"أولى 2","ل.عربية","ARA7","",5,"1+1+1+1+1",1,100,1
"ثانية 5","ل.عربية","ARA8","",5,"1+1+1+1+1",1,100,1
"ثانية 6","ل.عربية","ARA8","",5,"1+1+1+1+1",1,100,1
"أولى 3","ل.عربية","ARA8","",5,"1+1+1+1+1",1,100,1
"رابعة 1","ت.إسلامية","ARA1","",1,"",,,
"رابعة 2","ت.إسلامية","ARA1","",1,"",,,
"أولى1","ت.إسلامية","ARA1","",1,"",,,
"أولى 2","ت.إسلامية","ARA1","",1,"",,,
"رابعة 3","ت.إسلامية","ARA2","",1,"",,,
"رابعة 4","ت.إسلامية","ARA2","",1,"",,,
"أولى 3","ت.إسلامية","ARA2","",1,"",,,
"أولى 4","ت.إسلامية","ARA2","",1,"",,,
"رابعة 5","ت.إسلامية","ARA3","",1,"",,,
"ثالثة 1","ت.إسلامية","ARA3","",1,"",,,
"ثالثة 2","ت.إسلامية","ARA3","",1,"",,,
"أولى 5","ت.إسلامية","ARA4","",1,"",,,
"ثالثة 3","ت.إسلامية","ARA4","",1,"",,,
"ثالثة 4","ت.إسلامية","ARA5","",1,"",,,
"أولى 6","ت.إسلامية","ARA5","",1,"",,,
"أولى 7","ت.إسلامية","ARA5","",1,"",,,
"ثانية 1","ت.إسلامية","ARA6","",1,"",,,
"ثانية 2","ت.إسلامية","ARA6","",1,"",,,
"ثانية 3","ت.إسلامية","ARA7","",1,"",,,
"ثانية 4","ت.إسلامية","ARA7","",1,"",,,
"ثانية 5","ت.إسلامية","ARA8","",1,"",,,
"ثانية 6","ت.إسلامية","ARA8","",1,"",,,
"رابعة 1","فرنسية","FR1","",4,"1+1+1+1",1,100,1
"رابعة 2","فرنسية","FR1","",4,"1+1+1+1",1,100,1
"ثانية 6","فرنسية","FR1","",4,"1+1+1+1",1,100,1
"رابعة 3","فرنسية","FR2","",4,"1+1+1+1",1,100,1
"رابعة 4","فرنسية","FR2","",4,"1+1+1+1",1,100,1
"رابعة 5","فرنسية","FR2","",4,"1+1+1+1",1,100,1
"ثانية 1","فرنسية","FR5","",4,"1+1+1+1",1,100,1
"ثانية 2","فرنسية","FR5","",4,"1+1+1+1",1,100,1
"ثانية 3","فرنسية","FR5","",4,"1+1+1+1",1,100,1
"أولى 3","فرنسية","FR5","",4,"1+1+1+1",1,100,1
"ثانية 4","فرنسية","FR6","",4,"1+1+1+1",1,100,1
"ثانية 5","فرنسية","FR6","",4,"1+1+1+1",1,100,1
"أولى1","فرنسية","FR6","",4,"1+1+1+1",1,100,1
"أولى 2","فرنسية","FR6","",4,"1+1+1+1",1,100,1
"رابعة 1","إنجليزية","EN1","",3,"1+1+1",1,100,1
"رابعة 2","إنجليزية","EN1","",3,"1+1+1",1,100,1
"رابعة 3","إنجليزية","EN2","",3,"1+1+1",1,100,1
"رابعة 4","إنجليزية","EN2","",3,"1+1+1",1,100,1
"رابعة 5","إنجليزية","EN2","",3,"1+1+1",1,100,1
"ثالثة 1","إنجليزية","EN3","",3,"1+1+1",1,100,1
"ثالثة 2","إنجليزية","EN3","",3,"1+1+1",1,100,1
"ثالثة 3","إنجليزية","EN4","",3,"1+1+1",1,100,1
"ثالثة 4","إنجليزية","EN4","",3,"1+1+1",1,100,1
"أولى1","إنجليزية","EN1","",2,"1+1",1,100,1
"أولى 2","إنجليزية","EN1","",2,"1+1",1,100,1
"أولى 3","إنجليزية","EN1","",2,"1+1",1,100,1
"ثانية 5","إنجليزية","EN2","",2,"1+1",1,100,1
"ثانية 6","إنجليزية","EN2","",2,"1+1",1,100,1
"ثانية 1","إنجليزية","EN3","",2,"1+1",1,100,1
"ثانية 2","إنجليزية","EN3","",2,"1+1",1,100,1
"ثانية 3","إنجليزية","EN3","",2,"1+1",1,100,1
"ثانية 4","إنجليزية","EN3","",2,"1+1",1,100,1
"أولى 4","إنجليزية","EN4","",2,"1+1",1,100,1
"أولى 5","إنجليزية","EN4","",2,"1+1",1,100,1
"أولى 6","إنجليزية","EN4","",2,"1+1",1,100,1
"أولى 7","إنجليزية","EN4","",2,"1+1",1,100,1
"ثالثة 1","فيزياء","PH3","",1,"",,,
"ثالثة 2","فيزياء","PH3","",1,"",,,
"ثانية 1","فيزياء","PH3","",1,"",,,
"ثانية 2","فيزياء","PH3","",1,"",,,
"ثانية 3","فيزياء","PH3","",1,"",,,
"ثانية 4","فيزياء","PH3","",1,"",,,
"ثالثة 3","فيزياء","PH4","",1,"",,,
"ثالثة 4","فيزياء","PH4","",1,"",,,
